n.address,n.mf
"""0xbdc38a38400cadf9255874c309c298e4d9112785""",1.0
"""0xce1c98eb573afe951a259cdccdfeed60b4b7c2b4""",1.0
"""0x322af6308b0aa10e66f8828e6400af630e882698""",1.0
"""0x57e9bbc1bb78d75f068c9865610e42c5a725b4a8""",1.0
"""0x29ee1bcb893385a64ef1d2b9727d9f761160d17d""",1.0
"""0x8cb18e8c52bfc03f994610b5872750993518bd23""",1.0
"""0xe5ade6fd185b980b513d86f58ceeaf558555e935""",1.0
"""0xb2e76c5842d3e3bb0614481cc414151fb067ac8e""",1.0
"""0x75f626a5e10abe7e7b4092d9724bbd9ba76772ff""",1.0
"""0x89c625743a60b51e0e941e65086fb50949797e10""",1.0
"""0x1a19a2fd7e44815b9d2f85c69ddae56b50023571""",1.0
"""0x6652540ffc547a0c096cb800969583812a32ceee""",1.0
"""0x5173b463c1aa65ded00c5a1dcdf130932c068e17""",1.0
"""0xce30ab892f5d5214013fb1aa10366197e43e4e00""",1.0
"""0x1b549356b12fa8021fe3e20ce928104d03ed0032""",1.0
"""0xf5d6e52fb95c73883233bcaff4ee942fbcaa0499""",1.0
"""0xa4f0c7dfd037464fef45fc60902763ac5e3db559""",1.0
"""0x250f26e386089fe27bb0974506bf3a0851737a7e""",1.0
"""0x3f6a756c930f7f61904ccf663bdc2a5b73043bc3""",1.0
"""0x555be0ae24573162d98c9f26f61af4b5187d4c5c""",1.0
"""0x381f58a9f0450cde0c1da883a39777ca4f8aca91""",1.0
"""0x09c736671cd0f0dc6a0dd212bfac369d23816f0a""",1.0
"""0x307323ff05dd6b04454ad669f3f2e05e78b06398""",1.0
"""0xdd07372dd0cab30a4fb8346572cae8ec10c1c1db""",1.0
"""0x2ec84b79eff68b00fee26aa2ed1dfdd62c6960dd""",1.0
"""0xee7e94aa2a2974f0c29c352abb3e487b63285dec""",1.0
"""0xce91fddab3c544b59ebac665a7635561043a7def""",1.0
"""0x413531670ca6d29ea31d69034c1772d31b046800""",1.0
"""0x1acf073e0ffceef321046336696e0c2c993a6a98""",1.0
"""0x707985f6d0d8fb14fce77e88afcf4282746e108a""",1.0
"""0xa333e7a5a85f5022bc58c2f299765134b927c163""",1.0
"""0x9e9432ab8d223576797f0fe1a2be1853b2d7cfd1""",1.0
"""0xc86a58c84cbca97f7e949841ed40df26031cf001""",1.0
"""0xb9f17ae56c2febbda891f911658f824c3d58a488""",1.0
"""0xa9d9cf1f09f8bc51ec414a7782159f83f8fdb0e8""",1.0
"""0x72f8abd8f800c22a15c23eea6055aa4e552460b4""",1.0
"""0x7517ee5aa89b9757a575f5efe0a38826df8a49b2""",1.0
"""0xc2e2aa41b6fd61c9d0fc31649ccc9d8d3b210d50""",1.0
"""0x8ceba12727f8e9d1fa6dd3938afa87fd54ab3704""",1.0
"""0x70885d9fb95a8e24d1bf6be6f90dcf5b60b5de8d""",1.0
"""0xde1da57b6fb856f292ecc9952cce7234c3bf7ed7""",1.0
"""0xee68085f9b0a893f0dd8ac69281d9b16f9bc381f""",1.0
"""0x25cede402a77a1be0883f3b484b1ee57a43c9311""",1.0
"""0xda743016478d1badd99605a4d91012f5efa8d4eb""",1.0
"""0xd017322fbe55123064822117ce1bdc689599c6da""",1.0
"""0xf9c82816e9aeca0134ebcc667bed9d692af6561c""",1.0
"""0x30c699c0aa345523c19ca623943c98a8ac2984cf""",1.0
"""0xa2cec0b2a8fbef9c0cccce1ef8e80477db7037f2""",0.9968710000000001
"""0xb244911ed2cd5ef0ad1b8249fd7632febc8211c5""",0.9097891436097715
"""0x2a40f69673fc96ed842ca66c0c5a557954cd838b""",0.9
"""0xb081bd4f319137df5cb14410bd54616c31fd282a""",0.9
"""0xba97f2eb43d0fe9cac6e6363a06f8b4cd967904d""",0.8928053137
"""0x52ed455d20b187c4e8787bcd73cfeb8d353b3276""",0.8601095788
"""0x0fe11657759f849afce643ad9f8848c7c5cb0069""",0.8574200000000001
"""0xc31e68f7ad6832fa3850dbaa1fba04c52f36a13a""",0.8097750848089104
"""0xda93f71e3d620847f8ba9edcf2488b8af44cc9a6""",0.809074968
"""0x4ddf0aa6beb7193ddfd43b46bc2867d3f21acad4""",0.809074968
"""0xd50be9fe0d6bb93208c2151a038ce0b127b7bb88""",0.8
"""0x507d7196442a854c600af2942f03422a5778c88d""",0.8
"""0xf6e8cb15be8ba0c031659689d8c1fd11e5519b01""",0.7797021077
"""0x4e25c0d68bf8041fd9e3edf030008410822d9445""",0.7797021077
"""0xfaebfe96237dc5d5d6c9434db745c8fc8d912359""",0.7797021077
"""0xb1bacfb07599c006c4d33d2c3912c487868b9ac1""",0.75389938
"""0xbdca15a55afe1e45d037675bb1d5da3670067a09""",0.75389938
"""0x1cbe5ec4ff82acc595c53b4f50aa1717e159414a""",0.7512260900000001
"""0x58bd0b5548c8df2e38788b5851394e477f493c72""",0.7482618908379797
"""0x20520d90756171d6bfd78b392a90a5cb46b431d2""",0.7100000000000001
"""0xd320a35ee540f23473d59f6f24e5862235770882""",0.7100000000000001
"""0x289f343b0b3ff5e287f10cdbe2eda38c0a0e117d""",0.7100000000000001
"""0xbcb22fe7206576cb0f3764b97201cfba9d6c9f0e""",0.6972042100000001
"""0x4a6cb63e225e53e7bcc1a22cc1c971c01c59f19e""",0.6966941860870172
"""0x5d7dd2e381823c775025cf14a54962bb138b8921""",0.61802473
"""0x70c23cbd6352fe18be420098612a00b58986b8e2""",0.6149688200000001
"""0x0a3fbf54a90d015c87e4db3d8596ee484cf8b491""",0.6100000000000001
"""0xf9eec7cd97d0116a08f0892516cd28e66d0d765c""",0.6100000000000001
"""0x29c42ff018e8719a2b8bf60406f4157e04f21747""",0.6000000000000001
"""0x5bd97b9d46645248c1ce1714d85e19bee207f77f""",0.5703409478883225
"""0xff1e3e987cfbb867d0041a53cb9910921f152791""",0.5482250000000001
"""0x4d06988ad349140640d43f1269c8a2febf5ecb28""",0.5482250000000001
"""0x6c4ae937a1c35b1b21c73b7e0f6c0ca6c52dbd41""",0.5482250000000001
"""0xa05501e529e545b7231b46e814f068b08a25a6c1""",0.54504511
"""0x56f12370ba5b1bbbc2649f5b93070f6fd0c6775f""",0.5074213200000001
"""0x298111be709ba9a98409a8b25e8c6420c74e363e""",0.5
"""0x32f38deaa965150a3513a4c7d5649a0afb519ff8""",0.5
"""0x1a586944678f22a156c371a9042d16192101f5be""",0.5
"""0xf51a9a24ef7e2d0441a72413a9d72df64321b710""",0.5
"""0x8af1c9334c03944278a371f8a708e470f6873994""",0.49312881000000003
"""0x972b1058eaa6c5c69e81daec8c4c81b2a2df09a3""",0.49312881000000003
"""0x0e18703767484e1b7a2a6139d2c096b1caf43cc6""",0.48860620000000005
"""0x8bf7f353f200cf2f803c42e189fc81c439ffb34d""",0.48036221
"""0x3d2b92d9df9510fc5495e9c4495142ee132164c6""",0.48036221
